report id,entity type,entity value,matched ioc id,feed confidence,feed first seen,feed tactic,analytical relevance
TRN00031,domain,node-31-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00031,hash,26134ca774a515faf079,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00031,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00032,ipv4,198.51.100.33,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00032,domain,node-32-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00037,ipv4,198.51.100.38,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00037,domain,node-37-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00037,hash,3c3fc2c6e702a016fb42,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00037,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00042,ipv4,198.51.100.43,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00042,domain,node-42-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00042,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00048,ipv4,198.51.100.49,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00048,domain,node-48-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00049,ipv4,198.51.100.50,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00049,domain,node-49-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00049,hash,712d32d4981da79859c8,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00049,threat_actor,Copper Dune,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00050,ipv4,198.51.100.51,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00050,domain,node-50-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00050,hash,d559a4f7ae37a5ef6f16,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00050,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00052,ipv4,198.51.100.53,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00052,domain,node-52-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00064,ipv4,198.51.100.65,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00064,domain,node-64-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00067,ipv4,198.51.100.68,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00067,domain,node-67-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00067,hash,5522f68dd3ba7bdf9df7,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00067,threat_actor,Copper Dune,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00069,ipv4,198.51.100.70,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00069,domain,node-69-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00069,hash,026748b1648964fbf9a7,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00069,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00071,ipv4,198.51.100.72,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00071,domain,node-71-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00071,hash,494818a846112b20aaf8,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00072,ipv4,198.51.100.73,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00072,domain,node-72-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00074,ipv4,198.51.100.75,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00074,domain,node-74-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00074,hash,0dbb880b8e3f4761c227,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00074,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00078,ipv4,198.51.100.79,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00078,domain,node-78-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00080,ipv4,198.51.100.81,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00080,domain,node-80-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00088,ipv4,198.51.100.89,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00088,domain,node-88-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00089,ipv4,198.51.100.90,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00089,domain,node-89-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00089,hash,d4db6afefe8b9008c702,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00089,threat_actor,Copper Dune,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00092,ipv4,198.51.100.93,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00092,domain,node-92-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00093,ipv4,198.51.100.94,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00093,domain,node-93-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00094,ipv4,198.51.100.95,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00094,domain,node-94-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00095,ipv4,198.51.100.96,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00095,domain,node-95-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00097,ipv4,198.51.100.98,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00097,domain,node-97-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00099,ipv4,198.51.100.100,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00099,domain,node-99-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00100,ipv4,198.51.100.101,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00100,domain,node-100-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00102,ipv4,198.51.100.103,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00102,domain,node-102-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00102,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00103,ipv4,198.51.100.104,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00103,domain,node-103-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00103,hash,3b9ceeb32a1e5b401514,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00103,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00115,ipv4,198.51.100.116,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00115,domain,node-115-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00118,ipv4,198.51.100.119,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00118,domain,node-118-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00125,ipv4,198.51.100.126,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00125,domain,node-125-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00125,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00126,ipv4,198.51.100.127,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00126,domain,node-126-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00128,ipv4,198.51.100.129,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00128,domain,node-128-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00128,hash,8b8cea861e80103d6aa1,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00128,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00129,ipv4,198.51.100.130,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00129,domain,node-129-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00130,ipv4,198.51.100.131,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00130,domain,node-130-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00130,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00132,ipv4,198.51.100.133,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00132,domain,node-132-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00132,hash,b8e262ec17d6ca2a710a,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00132,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00133,ipv4,198.51.100.134,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00133,domain,node-133-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00136,ipv4,198.51.100.137,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00136,domain,node-136-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00141,ipv4,198.51.100.142,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00141,domain,node-141-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00151,ipv4,198.51.100.152,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00151,domain,node-151-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00151,hash,20d4ff423a044627d901,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00151,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00152,ipv4,198.51.100.153,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00152,domain,node-152-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00155,ipv4,198.51.100.156,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00155,domain,node-155-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00155,hash,7dc70516f6b914b210f0,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00155,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00160,ipv4,198.51.100.161,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00160,domain,node-160-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00160,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00164,ipv4,198.51.100.165,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00164,domain,node-164-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00165,ipv4,198.51.100.166,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00165,domain,node-165-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00167,ipv4,198.51.100.168,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00167,domain,node-167-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00170,ipv4,198.51.100.171,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00170,domain,node-170-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00173,ipv4,198.51.100.174,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00173,domain,node-173-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00173,hash,a17fb40a6276dcade2d6,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00174,ipv4,198.51.100.175,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00174,domain,node-174-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00179,ipv4,198.51.100.180,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00179,domain,node-179-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00179,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00189,ipv4,198.51.100.190,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00189,domain,node-189-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00189,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00190,ipv4,198.51.100.191,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00190,domain,node-190-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00190,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00191,ipv4,198.51.100.192,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00191,domain,node-191-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00191,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00196,ipv4,198.51.100.197,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00196,domain,node-196-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00196,hash,412ef23f9201bdae1e75,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00196,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00199,ipv4,198.51.100.200,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00199,domain,node-199-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00200,ipv4,198.51.100.201,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00200,domain,node-200-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00203,ipv4,198.51.100.204,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00203,domain,node-203-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00208,ipv4,198.51.100.209,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00208,domain,node-208-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00211,ipv4,198.51.100.212,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00211,domain,node-211-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00211,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00216,ipv4,198.51.100.217,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00216,domain,node-216-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00216,hash,601390826bd03a252b36,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00216,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00222,ipv4,198.51.100.3,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00222,domain,node-222-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00223,ipv4,198.51.100.4,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00223,domain,node-223-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00226,ipv4,198.51.100.7,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00226,domain,node-226-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00226,hash,523851f7881aa45174fc,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00226,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00229,ipv4,198.51.100.10,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00229,domain,node-229-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00229,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00234,ipv4,198.51.100.15,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00234,domain,node-234-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00238,ipv4,198.51.100.19,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00238,domain,node-238-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00245,ipv4,198.51.100.26,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00245,domain,node-245-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00250,ipv4,198.51.100.31,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00250,domain,node-250-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00250,hash,146bca20d6aced89a8b2,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00250,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00252,ipv4,198.51.100.33,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00252,domain,node-252-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00257,ipv4,198.51.100.38,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00257,domain,node-257-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00257,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00266,ipv4,198.51.100.47,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00266,domain,node-266-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00266,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00268,ipv4,198.51.100.49,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00268,domain,node-268-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00268,hash,e3ac1e39479cc9ca976c,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00268,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00269,ipv4,198.51.100.50,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00269,domain,node-269-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00270,ipv4,198.51.100.51,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00270,domain,node-270-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00272,ipv4,198.51.100.53,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00272,domain,node-272-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00272,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00276,ipv4,198.51.100.57,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00276,domain,node-276-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00278,ipv4,198.51.100.59,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00278,domain,node-278-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00282,ipv4,198.51.100.63,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00282,domain,node-282-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00282,hash,3f63c1d9ca088db0c145,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00290,ipv4,198.51.100.71,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00290,domain,node-290-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00290,hash,d7b0cf95cc11758f3e87,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00290,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00291,ipv4,198.51.100.72,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00291,domain,node-291-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00294,ipv4,198.51.100.75,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00294,domain,node-294-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00294,hash,7b4e13ed8a2dad271f2d,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00294,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00296,ipv4,198.51.100.77,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00296,domain,node-296-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00296,hash,4bca3e6185e88359880e,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00296,threat_actor,Copper Dune,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00299,ipv4,198.51.100.80,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00299,domain,node-299-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00301,ipv4,198.51.100.82,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00301,domain,node-301-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00301,hash,30d35852ec3b4bf24cc0,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00301,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00306,ipv4,198.51.100.87,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00306,domain,node-306-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00306,hash,a8a3068dac7f363573db,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00307,ipv4,198.51.100.88,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00307,domain,node-307-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00308,ipv4,198.51.100.89,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00308,domain,node-308-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00313,ipv4,198.51.100.94,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00313,domain,node-313-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00313,hash,bcf410848ff28ba3bde0,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00313,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00315,ipv4,198.51.100.96,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00315,domain,node-315-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00315,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00317,ipv4,198.51.100.98,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00317,domain,node-317-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00317,hash,221a62714f3d4b31606a,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00317,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00322,ipv4,198.51.100.103,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00322,domain,node-322-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00324,ipv4,198.51.100.105,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00324,domain,node-324-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00324,hash,82a9c4a9a9b46cf259f5,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00324,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00326,ipv4,198.51.100.107,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00326,domain,node-326-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00326,hash,791312246dc24fe77ad0,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00326,threat_actor,Night Heron,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00328,ipv4,198.51.100.109,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00328,domain,node-328-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00328,hash,cf2235342f72fcbf83a3,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00328,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00329,ipv4,198.51.100.110,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00329,domain,node-329-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00329,hash,0972bb371d17e83a8e66,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00329,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00330,ipv4,198.51.100.111,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00330,domain,node-330-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00330,hash,fddea744360488f8dbbc,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00331,ipv4,198.51.100.112,,,,,"Unconfirmed - internal-only entity, no external IOC match"
